Data inicio,Cust_id,Produto,Application,1 Request - Sand,1 Request - Prod,Go-live,IsBranded
18/10/2019,313804261,Link,S,10/02/2020,29/01/2020,,True
04/06/2019,181247065,Link,S,None,06/06/2019,,False
20/02/2020,262217676,Link,S,None,03/03/2020,,True
13/12/2019,473887956,Link,S,None,19/02/2020,,False
19/12/2019,487499683,Link,S,None,27/03/2020,,False
19/12/2019,488352506,Link,S,None,27/03/2020,,False
19/12/2019,488353385,Link,S,None,02/06/2020,,False
19/12/2019,488362448,Link,S,None,02/06/2020,,False
19/12/2019,488359104,Link,S,None,02/06/2020,,False
19/12/2019,488361162,Link,S,None,02/04/2020,,False
19/12/2019,488370026,Link,S,None,02/06/2020,,False
19/12/2019,488373038,Link,S,None,02/06/2020,,False
19/12/2019,488419129,Link,S,None,02/06/2020,,False
19/12/2019,488660768,Link,S,None,02/06/2020,,False
19/12/2019,488827068,Link,S,None,02/04/2020,,False
19/12/2019,488828672,Link,S,None,10/01/2020,,False
08/01/2020,511675144,Link,S,20/02/2020,17/01/2020,,True
08/01/2020,506822722,Link,S,16/01/2020,27/01/2020,,True
09/01/2020,511486136,Link,S,None,05/03/2020,,True
14/01/2020,486814494,Link,S,None,15/01/2020,,True
16/01/2020,513645591,Link,S,12/02/2020,14/02/2020,,True
20/01/2020,477938447,Link,S,20/01/2020,22/01/2020,,False
21/01/2020,130642037,Link,S,None,26/01/2020,,False
23/01/2020,106186702,Link,S,27/01/2020,31/01/2020,,True
28/01/2020,7977419,Link,S,None,30/01/2020,,True
26/01/2020,322521691,Link,S,27/01/2020,27/01/2020,,True
28/01/2020,480429877,Link,S,21/02/2020,21/02/2020,,True
29/01/2020,519259392,Link,S,20/02/2020,29/01/2020,,True
29/01/2020,518325270,Link,S,04/02/2020,11/02/2020,,True
30/01/2020,475921279,Link,S,03/04/2020,05/02/2020,,True
03/02/2020,348498096,Link,S,None,03/02/2020,,True
04/02/2020,522575244,Link,S,None,11/02/2020,,False
05/02/2020,519774884,Link,S,26/02/2020,03/03/2020,,False
05/02/2020,522147874,Link,S,None,05/02/2020,,False
05/02/2020,512130966,Link,S,05/02/2020,11/02/2020,,True
10/02/2020,523090052,Link,S,None,17/02/2020,,True
11/02/2020,524010106,Link,S,11/02/2020,11/02/2020,,False
12/02/2020,468381692,Link,S,12/02/2020,13/02/2020,,True
14/02/2020,511861686,Link,S,None,24/04/2020,,False
14/02/2020,522841408,Link,S,None,21/02/2020,,True
18/02/2020,527042093,Link,S,None,03/03/2020,,True
19/02/2020,528376629,Link,S,08/04/2020,08/04/2020,,False
20/02/2020,527004101,Link,S,None,21/02/2020,,False
20/02/2020,528754189,Link,S,27/02/2020,27/02/2020,,False
26/02/2020,530629541,Link,S,None,27/02/2020,,False
26/02/2020,530665857,Link,S,05/07/2020,28/02/2020,,True
11/02/2020,452190782,Link,S,None,11/02/2020,,False
28/02/2020,528741043,Link,S,05/03/2020,02/03/2020,,False
02/03/2020,488831139,Link,S,04/03/2020,03/03/2020,,True
09/03/2020,150399065,Link,S,07/07/2020,09/03/2020,,True
09/03/2020,158906488,Link,S,None,28/04/2020,,False
10/03/2020,361796630,Link,S,None,10/03/2020,,True
10/03/2020,532674175,Link,S,19/03/2020,13/03/2020,,False
10/03/2020,502864513,Link,S,12/03/2020,13/03/2020,,True
12/03/2020,354646116,Link,S,None,18/03/2020,,True
17/03/2020,537001286,Link,S,06/04/2020,09/04/2020,,False
20/03/2020,537987232,Link,S,None,20/03/2020,,True
26/03/2020,538644297,Link,S,None,31/03/2020,,True
29/03/2020,540398948,Link,S,None,02/04/2020,,False
30/03/2020,539207872,Link,S,None,30/03/2020,,False
31/03/2020,491519501,Link,S,None,None,,False
06/04/2020,537324481,Link,S,15/04/2020,28/04/2020,,False
07/04/2020,312911112,Link,S,None,10/04/2020,,True
13/04/2020,545610010,Link,S,None,27/04/2020,,True
16/04/2020,537009138,Link,S,None,17/04/2020,,True
16/04/2020,547479822,Link,S,None,23/06/2020,,True
16/04/2020,49196978,Link,S,None,20/04/2020,,False
17/04/2020,547879671,Link,S,23/04/2020,24/04/2020,,False
22/04/2020,539516864,Link,S,None,22/04/2020,,True
29/04/2020,549140953,Link,S,None,29/04/2020,,False
07/05/2020,539419161,Link,S,12/05/2020,None,,False
13/05/2020,565601367,Link,S,02/06/2020,09/06/2020,,False
13/05/2020,567719253,Link,S,None,26/06/2020,,False
15/05/2020,443129026,Link,S,None,18/05/2020,,False
18/05/2020,554349245,Link,S,None,18/05/2020,,True
19/05/2020,470781992,Link,S,None,25/05/2020,,False
19/05/2020,568813846,Link,S,None,25/05/2020,,False
20/05/2020,489150060,Link,S,None,25/05/2020,,True
22/05/2020,571741242,Link,S,29/05/2020,26/05/2020,,True
26/05/2020,570527177,Link,S,None,27/05/2020,,True
26/05/2020,571632413,Link,S,27/05/2020,29/05/2020,,True
28/05/2020,245644766,Link,S,29/05/2020,01/06/2020,,False
03/06/2020,578402258,Link,S,None,05/06/2020,,True
05/06/2020,564672040,Link,N, , ,,False
10/06/2020,547760889,Link,S,None,10/06/2020,,True
10/06/2020,548051103,Link,S,None,None,,False
25/06/2020,564338275,Link,S,None,25/08/2020,,True
29/06/2020,589452161,Link,S,None,30/06/2020,,True
30/06/2020,558553305,Link,S,None,21/07/2020,,True
01/07/2020,599379705,Link,S,20/07/2020,11/08/2020,,False
03/07/2020,426971713,Link,S,None,03/07/2020,,False
03/07/2020,575140349,Link,S,None,15/07/2020,,True
03/07/2020,592777109,Link,S,None,23/07/2020,,True
08/07/2020,594217356,Link,S,25/07/2020,09/07/2020,,False
09/07/2020,600848318,Link,S,None,14/07/2020,,True
13/07/2020,506181047,Link,S,None,14/07/2020,,False
14/07/2020,609528930,Link,S,None,31/07/2020,,False
15/07/2020,605900161,Link,S,None,15/07/2020,,False
15/07/2020,603306820,Link,S,Invalid token,Invalid token,,
16/07/2020,541321282,Link,S,None,22/07/2020,,False
20/07/2020,525770163,Link,S,None,22/07/2020,,True
24/07/2020,611330706,Link,S,12/08/2020,02/09/2020,,False
27/07/2020,615260991,Link,N, , ,,False
28/07/2020,522396710,Link,S,03/09/2020,None,,False
28/07/2020,581435881,Link,S,04/08/2020,28/07/2020,,False
28/07/2020,599432286,Link,S,None,28/07/2020,,True
29/07/2020,419223981,Link,S,None,10/08/2020,,False
30/07/2020,614176302,Link,S,None,01/08/2020,,True
03/08/2020,600141970,Link,S,03/08/2020,03/08/2020,,False
03/08/2020,471531885,Link,S,11/08/2020,06/08/2020,,False
06/08/2020,255107189,Link,S,None,06/08/2020,,True
07/08/2020,530665857,Link,S,10/08/2020,10/08/2020,,True
